TransactionID,TransactionDate,SKU,ProductName,Category,Supplier,Warehouse,OpeningStock,UnitsReceived,UnitsSold,ClosingStock,ReorderLevel,UnitCost,LeadTimeDays,StockStatus
INV035,2025-08-13,SKU007,Study Table,Furniture,Supplier C,Vadodara,95,19,56,58,36,4935,14,Healthy
INV036,2025-08-14,SKU004,Keyboard,Electronics,Supplier B,Ahmedabad,111,74,104,81,60,800,7,Healthy
INV037,2025-08-15,SKU019,Book Shelf,Furniture,Supplier C,Rajkot,81,31,40,72,31,3600,13,Healthy
INV038,2025-08-16,SKU013,Ergonomic Chair,Furniture,Supplier C,Rajkot,74,18,26,66,24,6700,14,Healthy
INV039,2025-08-16,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,500,201,338,363,88,215,6,Healthy
INV040,2025-08-17,SKU002,Wireless Mouse,Electronics,Supplier B,Vadodara,135,86,137,84,44,390,6,Healthy
INV041,2025-08-18,SKU003,Office Chair,Furniture,Supplier C,Rajkot,86,31,64,53,43,2995,10,Healthy
INV042,2025-08-20,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,422,50,291,181,85,220,5,Healthy
INV043,2025-08-21,SKU020,Mouse Pad,Accessories,Supplier A,Rajkot,205,103,99,209,86,145,4,Healthy
INV044,2025-08-21,SKU014,Power Bank,Electronics,Supplier B,Surat,87,77,60,104,74,825,7,Healthy
INV045,2025-08-23,SKU004,Keyboard,Electronics,Supplier B,Surat,110,79,170,19,44,780,5,Reorder
INV046,2025-08-22,SKU015,Desk Mat,Accessories,Supplier A,Rajkot,161,53,87,127,64,315,4,Healthy
INV047,2025-08-23,SKU018,Webcam,Electronics,Supplier B,Surat,88,36,103,21,41,1980,10,Reorder
INV048,2025-08-25,SKU016,Whiteboard,Home Office,Supplier D,Rajkot,138,66,86,118,42,1175,9,Healthy
INV049,2025-08-27,SKU017,Printer Paper,Stationery,Supplier E,Surat,492,127,382,237,80,185,6,Healthy
INV050,2025-08-27,SKU010,Pen Pack,Stationery,Supplier E,Rajkot,136,212,206,142,126,40,5,Healthy
INV051,2025-08-28,SKU016,Whiteboard,Home Office,Supplier D,Surat,86,18,69,35,45,1255,9,Reorder
INV052,2025-08-29,SKU016,Whiteboard,Home Office,Supplier D,Rajkot,141,21,59,103,49,1320,8,Healthy
INV053,2025-08-29,SKU022,LED Monitor,Electronics,Supplier B,Surat,86,18,67,37,26,7320,12,Healthy
INV054,2025-08-30,SKU021,Calculator,Stationery,Supplier E,Rajkot,502,160,347,315,58,335,5,Healthy
INV055,2025-09-01,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,185,54,185,54,54,650,7,Reorder
INV056,2025-09-01,SKU004,Keyboard,Electronics,Supplier B,Ahmedabad,230,69,148,151,46,810,8,Healthy
INV057,2025-09-04,SKU022,LED Monitor,Electronics,Supplier B,Ahmedabad,85,42,55,72,26,7070,13,Healthy
INV058,2025-09-05,SKU008,USB Cable,Electronics,Supplier B,Ahmedabad,48,43,59,32,77,125,3,Reorder
INV059,2025-09-04,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,188,56,163,81,55,650,5,Healthy
INV060,2025-09-07,SKU023,Storage Box,Home Office,Supplier D,Surat,129,35,56,108,47,550,6,Healthy
INV061,2025-09-07,SKU009,Notebook Set,Stationery,Supplier E,Rajkot,491,210,358,343,96,85,6,Healthy
INV062,2025-09-07,SKU013,Ergonomic Chair,Furniture,Supplier C,Ahmedabad,75,28,70,33,21,6510,15,Healthy
INV063,2025-09-10,SKU008,USB Cable,Electronics,Supplier B,Vadodara,226,43,164,105,72,120,5,Healthy
INV064,2025-09-10,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,65,23,31,57,54,425,8,Healthy
INV065,2025-09-11,SKU008,USB Cable,Electronics,Supplier B,Ahmedabad,54,68,24,98,94,130,6,Healthy
INV066,2025-09-11,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,136,59,104,91,33,610,8,Healthy
INV067,2025-09-13,SKU020,Mouse Pad,Accessories,Supplier A,Surat,153,64,95,122,74,145,6,Healthy
INV068,2025-09-15,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,442,80,182,340,97,190,6,Healthy
INV069,2025-09-16,SKU013,Ergonomic Chair,Furniture,Supplier C,Vadodara,56,18,62,12,24,6660,14,Reorder
INV070,2025-09-17,SKU012,File Organizer,Stationery,Supplier E,Rajkot,410,190,255,345,86,270,6,Healthy
INV071,2025-09-17,SKU001,Laptop Bag,Accessories,Supplier A,Surat,206,37,171,72,54,630,5,Healthy
INV072,2025-09-18,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,224,83,99,208,46,650,5,Healthy
INV073,2025-09-19,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,199,96,150,145,47,675,4,Healthy
INV074,2025-09-21,SKU008,USB Cable,Electronics,Supplier B,Ahmedabad,190,21,87,124,93,135,3,Healthy
INV075,2025-09-23,SKU016,Whiteboard,Home Office,Supplier D,Rajkot,103,60,93,70,49,1220,10,Healthy
INV076,2025-09-24,SKU013,Ergonomic Chair,Furniture,Supplier C,Ahmedabad,76,35,67,44,29,6290,14,Healthy
INV077,2025-09-23,SKU018,Webcam,Electronics,Supplier B,Surat,206,87,154,139,42,1860,12,Healthy
INV078,2025-09-24,SKU022,LED Monitor,Electronics,Supplier B,Surat,38,30,23,45,31,6645,11,Healthy
INV079,2025-09-26,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,218,29,155,92,83,150,4,Healthy
INV080,2025-09-28,SKU014,Power Bank,Electronics,Supplier B,Surat,137,35,147,25,58,750,8,Reorder
INV081,2025-09-28,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,59,28,39,48,30,540,8,Healthy
INV082,2025-09-30,SKU013,Ergonomic Chair,Furniture,Supplier C,Ahmedabad,75,16,50,41,26,6405,13,Healthy
INV083,2025-10-01,SKU014,Power Bank,Electronics,Supplier B,Vadodara,109,17,52,74,72,785,7,Healthy
INV084,2025-10-01,SKU003,Office Chair,Furniture,Supplier C,Vadodara,87,32,61,58,41,3065,12,Healthy
INV085,2025-10-01,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,223,61,118,166,59,750,5,Healthy
INV086,2025-10-03,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,116,50,104,62,50,445,7,Healthy
INV087,2025-10-05,SKU008,USB Cable,Electronics,Supplier B,Surat,222,71,158,135,97,125,3,Healthy
INV088,2025-10-04,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,89,19,42,66,41,600,8,Healthy
INV089,2025-10-06,SKU012,File Organizer,Stationery,Supplier E,Rajkot,197,106,97,206,61,275,8,Healthy
INV090,2025-10-07,SKU015,Desk Mat,Accessories,Supplier A,Ahmedabad,73,53,69,57,53,280,5,Healthy
INV091,2025-10-08,SKU020,Mouse Pad,Accessories,Supplier A,Rajkot,242,78,101,219,79,160,3,Healthy
INV092,2025-10-10,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,245,88,179,154,77,150,5,Healthy
INV093,2025-10-10,SKU016,Whiteboard,Home Office,Supplier D,Rajkot,88,18,55,51,38,1285,10,Healthy
INV094,2025-10-12,SKU004,Keyboard,Electronics,Supplier B,Surat,93,35,46,82,52,700,5,Healthy
INV095,2025-10-13,SKU014,Power Bank,Electronics,Supplier B,Vadodara,177,80,141,116,62,775,9,Healthy
INV096,2025-10-12,SKU024,Laptop Stand,Accessories,Supplier A,Surat,142,26,129,39,67,700,6,Reorder
INV097,2025-10-13,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,249,94,113,230,43,640,5,Healthy
INV098,2025-10-16,SKU014,Power Bank,Electronics,Supplier B,Surat,171,42,94,119,58,835,8,Healthy
INV099,2025-10-16,SKU009,Notebook Set,Stationery,Supplier E,Ahmedabad,377,188,413,152,111,80,7,Healthy
INV100,2025-10-17,SKU021,Calculator,Stationery,Supplier E,Ahmedabad,261,69,284,46,53,375,5,Reorder
INV101,2025-10-18,SKU018,Webcam,Electronics,Supplier B,Ahmedabad,95,52,80,67,30,1790,11,Healthy
INV102,2025-10-18,SKU006,Monitor Stand,Accessories,Supplier A,Rajkot,244,113,142,215,48,910,7,Healthy
INV103,2025-10-19,SKU010,Pen Pack,Stationery,Supplier E,Rajkot,477,174,328,323,112,50,5,Healthy
INV104,2025-10-20,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,70,30,30,70,31,510,9,Healthy
INV105,2025-10-22,SKU022,LED Monitor,Electronics,Supplier B,Ahmedabad,101,92,81,112,26,7620,12,Healthy
INV106,2025-10-23,SKU021,Calculator,Stationery,Supplier E,Surat,455,206,336,325,66,345,7,Healthy
INV107,2025-10-24,SKU012,File Organizer,Stationery,Supplier E,Ahmedabad,360,95,335,120,73,275,5,Healthy
INV108,2025-10-24,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,345,161,173,333,112,50,6,Healthy
INV109,2025-10-26,SKU009,Notebook Set,Stationery,Supplier E,Rajkot,159,185,147,197,113,75,7,Healthy
INV110,2025-10-28,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,172,85,98,159,68,725,5,Healthy
INV111,2025-10-29,SKU019,Book Shelf,Furniture,Supplier C,Rajkot,68,11,65,14,27,3950,14,Reorder
INV112,2025-10-31,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,45,26,40,31,33,560,9,Reorder
INV113,2025-10-30,SKU023,Storage Box,Home Office,Supplier D,Rajkot,105,17,47,75,56,500,9,Healthy
INV114,2025-11-01,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,81,82,141,22,48,610,6,Reorder
INV115,2025-11-03,SKU018,Webcam,Electronics,Supplier B,Surat,107,96,109,94,38,1815,11,Healthy
INV116,2025-11-03,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,240,64,116,188,43,425,7,Healthy
INV117,2025-11-05,SKU002,Wireless Mouse,Electronics,Supplier B,Vadodara,180,31,116,95,54,390,7,Healthy
INV118,2025-11-06,SKU002,Wireless Mouse,Electronics,Supplier B,Vadodara,59,76,62,73,54,400,7,Healthy
INV119,2025-11-05,SKU010,Pen Pack,Stationery,Supplier E,Rajkot,497,162,420,239,148,45,5,Healthy
INV120,2025-11-08,SKU012,File Organizer,Stationery,Supplier E,Surat,293,92,351,34,72,230,7,Reorder
INV121,2025-11-09,SKU008,USB Cable,Electronics,Supplier B,Surat,187,87,136,138,84,115,4,Healthy
INV122,2025-11-10,SKU003,Office Chair,Furniture,Supplier C,Vadodara,53,22,47,28,40,3385,11,Reorder
INV123,2025-11-10,SKU012,File Organizer,Stationery,Supplier E,Rajkot,225,192,306,111,78,235,7,Healthy
INV124,2025-11-10,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,29,32,20,41,27,4255,13,Healthy
INV125,2025-11-11,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,330,91,381,40,84,215,7,Reorder
INV126,2025-11-13,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,168,120,109,179,77,160,4,Healthy
INV127,2025-11-15,SKU018,Webcam,Electronics,Supplier B,Vadodara,57,61,100,18,36,1670,10,Reorder
INV128,2025-11-14,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,217,37,85,169,72,150,4,Healthy
INV129,2025-11-15,SKU002,Wireless Mouse,Electronics,Supplier B,Ahmedabad,171,70,180,61,44,430,7,Healthy
INV130,2025-11-18,SKU013,Ergonomic Chair,Furniture,Supplier C,Rajkot,69,11,32,48,30,6585,16,Healthy
INV131,2025-11-18,SKU012,File Organizer,Stationery,Supplier E,Rajkot,123,129,124,128,64,275,8,Healthy
INV132,2025-11-18,SKU013,Ergonomic Chair,Furniture,Supplier C,Ahmedabad,67,24,45,46,28,6210,15,Healthy
INV133,2025-11-21,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,258,58,196,120,127,40,5,Reorder
INV134,2025-11-21,SKU018,Webcam,Electronics,Supplier B,Surat,183,48,90,141,37,1720,11,Healthy
INV135,2025-11-21,SKU015,Desk Mat,Accessories,Supplier A,Surat,162,66,111,117,66,325,4,Healthy
INV136,2025-11-23,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,366,102,411,57,140,45,7,Reorder
INV137,2025-11-25,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,56,13,59,10,27,4250,12,Reorder
INV138,2025-11-25,SKU024,Laptop Stand,Accessories,Supplier A,Surat,71,101,63,109,52,675,6,Healthy
INV139,2025-11-27,SKU014,Power Bank,Electronics,Supplier B,Vadodara,231,16,131,116,73,810,9,Healthy
INV140,2025-11-26,SKU023,Storage Box,Home Office,Supplier D,Rajkot,51,54,37,68,44,540,8,Healthy
INV141,2025-11-29,SKU010,Pen Pack,Stationery,Supplier E,Surat,340,216,392,164,106,50,6,Healthy
INV142,2025-11-29,SKU004,Keyboard,Electronics,Supplier B,Surat,52,99,79,72,57,840,6,Healthy
INV143,2025-12-01,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,32,22,14,40,28,3925,13,Healthy
INV144,2025-12-01,SKU010,Pen Pack,Stationery,Supplier E,Rajkot,264,125,295,94,119,45,4,Reorder
INV145,2025-12-02,SKU014,Power Bank,Electronics,Supplier B,Surat,235,100,148,187,57,820,8,Healthy
INV146,2025-12-04,SKU014,Power Bank,Electronics,Supplier B,Surat,123,96,67,152,66,845,8,Healthy
INV147,2025-12-04,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,152,60,145,67,54,385,8,Healthy
INV148,2025-12-05,SKU001,Laptop Bag,Accessories,Supplier A,Surat,226,66,147,145,49,615,7,Healthy
INV149,2025-12-07,SKU011,Headphones,Electronics,Supplier B,Surat,185,43,170,58,45,1140,6,Healthy
INV150,2025-12-07,SKU015,Desk Mat,Accessories,Supplier A,Surat,115,75,139,51,52,285,6,Reorder
INV151,2025-12-09,SKU008,USB Cable,Electronics,Supplier B,Surat,239,67,175,131,78,130,4,Healthy
INV152,2025-12-11,SKU021,Calculator,Stationery,Supplier E,Surat,122,215,225,112,69,370,7,Healthy
INV153,2025-12-11,SKU001,Laptop Bag,Accessories,Supplier A,Surat,214,56,71,199,45,615,6,Healthy
INV154,2025-12-13,SKU015,Desk Mat,Accessories,Supplier A,Rajkot,254,69,146,177,48,295,6,Healthy
INV155,2025-12-12,SKU013,Ergonomic Chair,Furniture,Supplier C,Rajkot,28,34,25,37,26,6765,15,Healthy
INV156,2025-12-13,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,208,145,186,167,93,215,6,Healthy
INV157,2025-12-14,SKU023,Storage Box,Home Office,Supplier D,Surat,139,58,106,91,43,465,7,Healthy
INV158,2025-12-17,SKU024,Laptop Stand,Accessories,Supplier A,Surat,243,61,100,204,51,685,6,Healthy
INV159,2025-12-17,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,422,164,384,202,106,195,6,Healthy
INV160,2025-12-19,SKU016,Whiteboard,Home Office,Supplier D,Surat,130,69,87,112,37,1235,10,Healthy
INV161,2025-12-19,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,165,70,186,49,62,640,6,Reorder
INV162,2025-12-20,SKU010,Pen Pack,Stationery,Supplier E,Rajkot,125,77,107,95,130,50,6,Reorder
INV163,2025-12-21,SKU008,USB Cable,Electronics,Supplier B,Surat,195,39,119,115,93,130,5,Healthy
INV164,2025-12-22,SKU020,Mouse Pad,Accessories,Supplier A,Rajkot,91,104,151,44,88,165,5,Reorder
INV165,2025-12-22,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,249,40,134,155,75,155,3,Healthy
INV166,2025-12-24,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,112,61,112,61,39,535,8,Healthy
INV167,2025-12-26,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,38,45,24,59,42,400,7,Healthy
INV168,2025-12-27,SKU014,Power Bank,Electronics,Supplier B,Surat,223,53,180,96,70,830,7,Healthy
INV169,2025-12-28,SKU006,Monitor Stand,Accessories,Supplier A,Ahmedabad,77,71,50,98,41,845,5,Healthy
INV170,2025-12-28,SKU024,Laptop Stand,Accessories,Supplier A,Rajkot,258,61,175,144,48,770,5,Healthy
INV171,2025-12-29,SKU017,Printer Paper,Stationery,Supplier E,Ahmedabad,436,176,417,195,88,205,7,Healthy
INV172,2025-12-29,SKU014,Power Bank,Electronics,Supplier B,Surat,183,52,173,62,60,890,10,Healthy
INV173,2025-12-31,SKU012,File Organizer,Stationery,Supplier E,Rajkot,485,80,269,296,67,280,5,Healthy
INV174,2025-12-31,SKU021,Calculator,Stationery,Supplier E,Surat,130,54,118,66,68,370,6,Reorder
INV175,2026-01-02,SKU004,Keyboard,Electronics,Supplier B,Ahmedabad,53,91,116,28,49,810,8,Reorder
INV176,2026-01-04,SKU004,Keyboard,Electronics,Supplier B,Vadodara,201,20,124,97,59,735,8,Healthy
INV177,2026-01-05,SKU018,Webcam,Electronics,Supplier B,Ahmedabad,38,64,65,37,41,1840,9,Reorder
INV178,2026-01-06,SKU014,Power Bank,Electronics,Supplier B,Surat,105,27,35,97,56,770,9,Healthy
INV179,2026-01-05,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,456,115,345,226,146,45,5,Healthy
INV180,2026-01-08,SKU006,Monitor Stand,Accessories,Supplier A,Surat,260,46,163,143,50,895,7,Healthy
INV181,2026-01-08,SKU018,Webcam,Electronics,Supplier B,Surat,126,34,74,86,32,1890,12,Healthy
INV182,2026-01-10,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,127,65,102,90,41,535,8,Healthy
INV183,2026-01-09,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,486,195,248,433,135,45,7,Healthy
INV184,2026-01-12,SKU023,Storage Box,Home Office,Supplier D,Rajkot,73,62,67,68,47,505,9,Healthy
INV185,2026-01-11,SKU007,Study Table,Furniture,Supplier C,Vadodara,43,11,23,31,36,4170,11,Reorder
INV186,2026-01-13,SKU003,Office Chair,Furniture,Supplier C,Vadodara,26,14,15,25,48,3565,11,Reorder
INV187,2026-01-13,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,229,62,163,128,56,705,6,Healthy
INV188,2026-01-16,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,80,11,23,68,29,4150,14,Healthy
INV189,2026-01-17,SKU007,Study Table,Furniture,Supplier C,Rajkot,49,14,38,25,31,4860,14,Reorder
INV190,2026-01-16,SKU022,LED Monitor,Electronics,Supplier B,Ahmedabad,37,32,26,43,22,7625,11,Healthy
INV191,2026-01-19,SKU003,Office Chair,Furniture,Supplier C,Vadodara,67,17,35,49,41,3140,11,Healthy
INV192,2026-01-20,SKU010,Pen Pack,Stationery,Supplier E,Surat,468,125,408,185,133,45,6,Healthy
INV193,2026-01-21,SKU006,Monitor Stand,Accessories,Supplier A,Ahmedabad,93,31,55,69,56,835,4,Healthy
INV194,2026-01-23,SKU003,Office Chair,Furniture,Supplier C,Rajkot,77,29,53,53,42,3305,11,Healthy
INV195,2026-01-22,SKU014,Power Bank,Electronics,Supplier B,Surat,176,78,154,100,69,770,8,Healthy
INV196,2026-01-24,SKU022,LED Monitor,Electronics,Supplier B,Ahmedabad,113,26,119,20,26,7560,11,Reorder
INV197,2026-01-24,SKU021,Calculator,Stationery,Supplier E,Rajkot,142,65,133,74,64,375,8,Healthy
INV198,2026-01-27,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,192,108,88,212,47,675,6,Healthy
INV199,2026-01-27,SKU001,Laptop Bag,Accessories,Supplier A,Rajkot,182,25,146,61,52,725,6,Healthy
INV200,2026-01-27,SKU009,Notebook Set,Stationery,Supplier E,Ahmedabad,196,148,270,74,92,75,6,Reorder
INV201,2026-01-29,SKU008,USB Cable,Electronics,Supplier B,Vadodara,89,34,32,91,90,120,4,Healthy
INV202,2026-01-30,SKU007,Study Table,Furniture,Supplier C,Vadodara,83,12,58,37,34,4300,13,Healthy
INV203,2026-01-30,SKU016,Whiteboard,Home Office,Supplier D,Vadodara,67,21,23,65,48,1150,10,Healthy
INV204,2026-01-31,SKU024,Laptop Stand,Accessories,Supplier A,Rajkot,257,90,150,197,61,765,7,Healthy
INV205,2026-02-03,SKU018,Webcam,Electronics,Supplier B,Vadodara,147,59,179,27,38,1820,11,Reorder
INV206,2026-02-02,SKU018,Webcam,Electronics,Supplier B,Ahmedabad,204,53,133,124,32,1885,11,Healthy
INV207,2026-02-03,SKU007,Study Table,Furniture,Supplier C,Rajkot,85,11,55,41,32,4415,11,Healthy
INV208,2026-02-04,SKU001,Laptop Bag,Accessories,Supplier A,Rajkot,202,48,147,103,57,685,5,Healthy
INV209,2026-02-07,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,479,61,308,232,145,45,7,Healthy
INV210,2026-02-08,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,357,68,338,87,132,50,6,Reorder
INV211,2026-02-07,SKU012,File Organizer,Stationery,Supplier E,Rajkot,394,125,195,324,78,235,6,Healthy
INV212,2026-02-08,SKU018,Webcam,Electronics,Supplier B,Surat,149,62,170,41,32,1905,11,Healthy
INV213,2026-02-09,SKU009,Notebook Set,Stationery,Supplier E,Surat,283,137,253,167,97,80,8,Healthy
INV214,2026-02-11,SKU008,USB Cable,Electronics,Supplier B,Surat,211,57,177,91,70,135,5,Healthy
INV215,2026-02-11,SKU022,LED Monitor,Electronics,Supplier B,Surat,202,28,153,77,23,7065,11,Healthy
INV216,2026-02-12,SKU004,Keyboard,Electronics,Supplier B,Vadodara,75,86,134,27,47,775,7,Reorder
INV217,2026-02-15,SKU009,Notebook Set,Stationery,Supplier E,Ahmedabad,336,102,358,80,91,75,7,Reorder
INV218,2026-02-16,SKU007,Study Table,Furniture,Supplier C,Rajkot,32,22,38,16,34,4375,13,Reorder
INV219,2026-02-15,SKU006,Monitor Stand,Accessories,Supplier A,Surat,253,56,156,153,40,965,6,Healthy
INV220,2026-02-17,SKU022,LED Monitor,Electronics,Supplier B,Surat,235,48,143,140,24,6860,13,Healthy
INV221,2026-02-17,SKU017,Printer Paper,Stationery,Supplier E,Rajkot,394,169,400,163,110,210,8,Healthy
INV222,2026-02-20,SKU002,Wireless Mouse,Electronics,Supplier B,Ahmedabad,62,55,82,35,49,440,8,Reorder
INV223,2026-02-21,SKU009,Notebook Set,Stationery,Supplier E,Ahmedabad,310,73,323,60,122,80,7,Reorder
INV224,2026-02-21,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,321,210,410,121,105,50,6,Healthy
INV225,2026-02-22,SKU014,Power Bank,Electronics,Supplier B,Surat,72,107,50,129,73,795,8,Healthy
INV226,2026-02-24,SKU018,Webcam,Electronics,Supplier B,Surat,153,26,149,30,43,1915,12,Reorder
INV227,2026-02-23,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,145,16,138,23,43,435,9,Reorder
INV228,2026-02-24,SKU011,Headphones,Electronics,Supplier B,Vadodara,225,60,122,163,54,1045,6,Healthy
INV229,2026-02-25,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,157,71,161,67,75,155,6,Reorder
INV230,2026-02-26,SKU010,Pen Pack,Stationery,Supplier E,Ahmedabad,259,160,281,138,125,50,4,Healthy
INV231,2026-02-27,SKU016,Whiteboard,Home Office,Supplier D,Vadodara,112,51,64,99,45,1270,9,Healthy
INV232,2026-03-02,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,124,38,134,28,56,670,5,Reorder
INV233,2026-03-03,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,73,23,61,35,27,4145,14,Healthy
